,0
1,https://en.wikipedia.org/wiki/List_of_newspapers_in_Singapore
2,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Isle_of_Man
3,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tokelau
5,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tuvalu
6,https://en.wikipedia.org/wiki/List_of_newspapers_in_Haiti
8,https://en.wikipedia.org/wiki/List_of_newspapers_in_Malaysia
9,https://en.wikipedia.org/wiki/List_of_newspapers_in_Paraguay
10,https://en.wikipedia.org/wiki/List_of_newspapers_in_Slovenia
14,https://en.wikipedia.org/wiki/List_of_newspapers_in_Mauritius
15,https://en.wikipedia.org/wiki/List_of_newspapers_in_Rwanda
18,https://en.wikipedia.org/wiki/List_of_newspapers_in_Brunei
19,https://en.wikipedia.org/wiki/List_of_newspapers_in_Switzerland
21,https://en.wikipedia.org/wiki/List_of_newspapers_in_Turkmenistan
22,https://en.wikipedia.org/wiki/List_of_newspapers_in_Vietnam
23,https://en.wikipedia.org/wiki/List_of_newspapers_in_Azerbaijan
27,https://en.wikipedia.org/wiki/List_of_newspapers_in_El_Salvador
28,https://en.wikipedia.org/wiki/List_of_newspapers_in_Samoa
31,https://en.wikipedia.org/wiki/List_of_newspapers_in_Pakistan
34,https://en.wikipedia.org/wiki/List_of_newspapers_in_East_Timor
36,https://en.wikipedia.org/wiki/List_of_newspapers_in_Morocco
41,https://en.wikipedia.org/wiki/List_of_newspapers_in_Mexico
44,https://en.wikipedia.org/wiki/List_of_newspapers_in_Cuba
45,https://en.wikipedia.org/wiki/List_of_newspapers_in_Lesotho
46,https://en.wikipedia.org/wiki/List_of_newspapers_in_Fiji
49,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Canary_Islands
52,https://en.wikipedia.org/wiki/List_of_newspapers_in_Barbados
53,https://en.wikipedia.org/wiki/List_of_newspapers_in_Dominica
54,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Cayman_Islands
55,https://en.wikipedia.org/wiki/List_of_newspapers_in_Italy
56,https://en.wikipedia.org/wiki/List_of_newspapers_in_Malta
57,https://en.wikipedia.org/wiki/List_of_newspapers_in_South_Africa
58,https://en.wikipedia.org/wiki/List_of_newspapers_in_Burkina_Faso
60,https://en.wikipedia.org/wiki/List_of_newspapers_in_South_Korea
61,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Philippines
64,https://en.wikipedia.org/wiki/List_of_newspapers_in_Benin
65,https://en.wikipedia.org/wiki/List_of_newspapers_in_New_Zealand
67,https://en.wikipedia.org/wiki/List_of_newspapers_in_Vatican_City
69,https://en.wikipedia.org/wiki/List_of_newspapers_in_Sudan
71,https://en.wikipedia.org/wiki/List_of_newspapers_in_Nepal
72,https://en.wikipedia.org/wiki/List_of_newspapers_in_Germany
74,https://en.wikipedia.org/wiki/List_of_newspapers_in_Saudi_Arabia
75,https://en.wikipedia.org/wiki/List_of_newspapers_in_Suriname
78,https://en.wikipedia.org/wiki/List_of_newspapers_in_Bermuda
79,https://en.wikipedia.org/wiki/List_of_newspapers_in_Papua_New_Guinea
80,https://en.wikipedia.org/wiki/List_of_newspapers_in_Botswana
81,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tanzania
82,https://en.wikipedia.org/wiki/List_of_newspapers_in_Jamaica
84,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom
85,https://en.wikipedia.org/wiki/List_of_newspapers_in_Greece
87,https://en.wikipedia.org/wiki/List_of_newspapers_in_China
88,https://en.wikipedia.org/wiki/List_of_newspapers_in_American_Samoa
89,https://en.wikipedia.org/wiki/List_of_newspapers_in_France
91,https://en.wikipedia.org/wiki/List_of_newspapers_in_Uzbekistan
93,https://en.wikipedia.org/wiki/List_of_newspapers_in_Turkey
94,https://en.wikipedia.org/wiki/List_of_newspapers_in_Romania
97,https://en.wikipedia.org/wiki/List_of_newspapers_in_Sweden
98,https://en.wikipedia.org/wiki/List_of_newspapers_in_Armenia
99,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_States
101,https://en.wikipedia.org/wiki/List_of_newspapers_in_Kyrgyzstan
102,https://en.wikipedia.org/wiki/List_of_newspapers_in_Poland
105,https://en.wikipedia.org/wiki/List_of_newspapers_in_Afghanistan
106,https://en.wikipedia.org/wiki/List_of_newspapers_in_Jordan
110,https://en.wikipedia.org/wiki/List_of_newspapers_in_Sri_Lanka
117,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Bahamas
120,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_States_Virgin_Islands
125,https://en.wikipedia.org/wiki/List_of_newspapers_in_Kiribati
126,https://en.wikipedia.org/wiki/List_of_newspapers_in_Libya
127,https://en.wikipedia.org/wiki/List_of_newspapers_in_Portugal
128,https://en.wikipedia.org/wiki/List_of_newspapers_in_Chile
129,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Democratic_Republic_of_the_Congo
130,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_Czech_Republic
131,https://en.wikipedia.org/wiki/List_of_newspapers_in_French_Guiana
132,https://en.wikipedia.org/wiki/List_of_newspapers_in_Chad
135,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Arab_Emirates
137,https://en.wikipedia.org/wiki/List_of_newspapers_in_Canada
138,https://en.wikipedia.org/wiki/List_of_newspapers_in_Georgia_(country)
141,https://en.wikipedia.org/wiki/List_of_newspapers_in_Kosovo
142,https://en.wikipedia.org/wiki/List_of_newspapers_in_Israel
144,https://en.wikipedia.org/wiki/List_of_newspapers_in_India
146,https://en.wikipedia.org/wiki/List_of_newspapers_in_Macau
147,https://en.wikipedia.org/wiki/List_of_newspapers_in_Taiwan
148,https://en.wikipedia.org/wiki/List_of_newspapers_in_North_Korea
151,https://en.wikipedia.org/wiki/List_of_newspapers_in_Egypt
152,https://en.wikipedia.org/wiki/List_of_newspapers_in_Guyana
